"mainact","stflife","work_type"
"Paid work",10,"Full-time"
"Paid work",9,"Full-time"
"Paid work",9,"Full-time"
"Paid work",9,"Full-time"
"Paid work",8,"Full-time"
"Paid work",5,"Full-time"
"Paid work",8,"Full-time"
"Paid work",9,"Full-time"
"Retired",5,"Not full time"
"Housework, looking after children, others",7,"Not full time"
"Housework, looking after children, others",10,"Not full time"
"Retired",8,"Not full time"
"Housework, looking after children, others",10,"Not full time"
"Retired",9,"Not full time"
"Retired",10,"Not full time"
"Retired",7,"Not full time"
"Housework, looking after children, others",6,"Not full time"
"Paid work",9,"Full-time"
"Paid work",7,"Full-time"
"Paid work",4,"Full-time"
"Housework, looking after children, others",7,"Not full time"
"Retired",5,"Not full time"
"Education",9,"Not full time"
"Paid work",7,"Full-time"
"Paid work",10,"Full-time"
"Permanently sick or disabled",5,"Not full time"
"Retired",9,"Not full time"
"Retired",5,"Not full time"
"Paid work",7,"Full-time"
"Retired",10,"Not full time"
"Paid work",6,"Full-time"
"Education",6,"Not full time"
"Retired",10,"Not full time"
"Retired",8,"Not full time"
"Paid work",7,"Full-time"
"Paid work",7,"Full-time"
"Paid work",8,"Full-time"
"Paid work",9,"Full-time"
"Housework, looking after children, others",9,"Not full time"
"Housework, looking after children, others",9,"Not full time"
"Housework, looking after children, others",9,"Not full time"
"Housework, looking after children, others",8,"Not full time"
"Housework, looking after children, others",9,"Not full time"
"Housework, looking after children, others",8,"Not full time"
"Paid work",9,"Full-time"
"Retired",9,"Not full time"
"Retired",10,"Not full time"
"Paid work",5,"Full-time"
"Retired",10,"Not full time"
"Paid work",10,"Full-time"
"Unemployed, looking for job",8,"Not full time"
"Retired",5,"Not full time"
"Education",8,"Not full time"
"Paid work",8,"Full-time"
"Permanently sick or disabled",10,"Not full time"
"Paid work",6,"Full-time"
"Housework, looking after children, others",10,"Not full time"
"Paid work",5,"Full-time"
"Paid work",7,"Full-time"
"Housework, looking after children, others",6,"Not full time"
"Paid work",7,"Full-time"
"Paid work",8,"Full-time"
"Paid work",10,"Full-time"
"Paid work",8,"Full-time"
"Paid work",9,"Full-time"
"Education",6,"Not full time"
"Retired",10,"Not full time"
"Paid work",10,"Full-time"
"Housework, looking after children, others",9,"Not full time"
"Retired",10,"Not full time"
"Paid work",9,"Full-time"
"Retired",7,"Not full time"
"Paid work",6,"Full-time"
"Retired",10,"Not full time"
"Paid work",8,"Full-time"
"Paid work",8,"Full-time"
"Paid work",8,"Full-time"
"Housework, looking after children, others",9,"Not full time"
"Other",9,"Not full time"
"Paid work",7,"Full-time"
"Paid work",8,"Full-time"
"Retired",4,"Not full time"
"Paid work",7,"Full-time"
"Retired",6,"Not full time"
"Education",10,"Not full time"
"Paid work",10,"Full-time"
"Paid work",4,"Full-time"
"Housework, looking after children, others",9,"Not full time"
"Paid work",5,"Full-time"
"Retired",8,"Not full time"
"Retired",7,"Not full time"
"Paid work",8,"Full-time"
"Paid work",7,"Full-time"
"Retired",8,"Not full time"
"Retired",5,"Not full time"
"Paid work",8,"Full-time"
"Paid work",9,"Full-time"
"Paid work",9,"Full-time"
"Permanently sick or disabled",6,"Not full time"
"Paid work",8,"Full-time"
"Housework, looking after children, others",7,"Not full time"
"Paid work",8,"Full-time"
"Paid work",7,"Full-time"
"Other",8,"Not full time"
"Paid work",6,"Full-time"
"Housework, looking after children, others",8,"Not full time"
"Retired",9,"Not full time"
"Paid work",9,"Full-time"
"Paid work",8,"Full-time"
"Paid work",8,"Full-time"
"Retired",10,"Not full time"
"Education",8,"Not full time"
"Permanently sick or disabled",5,"Not full time"
"Education",8,"Not full time"
"Paid work",3,"Full-time"
"Paid work",10,"Full-time"
"Retired",8,"Not full time"
"Education",7,"Not full time"
"Retired",10,"Not full time"
"Retired",8,"Not full time"
"Paid work",9,"Full-time"
"Paid work",8,"Full-time"
"Paid work",7,"Full-time"
"Education",8,"Not full time"
"Retired",5,"Not full time"
"Housework, looking after children, others",9,"Not full time"
"Permanently sick or disabled",4,"Not full time"
"Paid work",9,"Full-time"
"Retired",8,"Not full time"
"Paid work",8,"Full-time"
"Paid work",7,"Full-time"
"Retired",7,"Not full time"
